text,label,source
"While the secretary of state's in one country, there are almost a hundred and fifty others that are wondering what we're gonna do next, what will be the next secret agreement.",0,verita-composite-ours-train
It may be that we are done with the anarchy of prices which we have so long justified by supposing a law of supply and demand.,1,checkthat-2025-task1-train
We're in the middle of the longest streak of private sector job creation in history.,1,verita-composite-ours-train
They showed that the nucleus consists of two types of particles with different charges and masses and that these determine the atomic number and mass number of an element[^2^].,1,claimify
But it’s affected each of us one way or another. We all have that in common.,1,verita-composite-ours-train
These efforts have made significant progress in recent years and have raised hope for many patients and doctors.,0,claimify
"These steps require collective action from individuals, businesses, governments, and civil society organizations at local, national, and global levels.",0,claimify
- The clues were divided into **across** and **down** categories instead of using numbers for each word[^2^].,1,claimify
Our greatest achievement the past four years has been changing the direction of our public schools.,1,verita-composite-ours-test
South Bend in Indiana unemployment fell by half under Mayor Pete Buttigieg,1,verita-composite-ours-train
"Workers would have a 24 percent wage increase by 2024, including an immediate 14 percent raise.",0,checkthat-2025-task1-train
This is an arms escalation.,0,verita-composite-ours-train
"However, they also face challenges such as intermittency, grid integration, land use, and resource availability[^9^].",1,claimify
And we know where it came from: two wars that were paid for on a credit card; two tax cuts that were not paid for; and a whole bunch of programs that were not paid for; and then a massive economic crisis.,0,verita-composite-ours-test
"IF any Nigerian Bank fails to return your money within 24 hours of a failed online transfer, they will be fined 10,000 naira. The money goes to YOU! All you need to do is report the issue to Central Bank (cpd@cbn.gov.ng) and they will surely take it up.",1,verita-composite-ours-train
"Islamic calligraphy also adorned many forms of art and architecture, such as mosques, ceramics, textiles, coins, and metalwork.",1,claimify
"And we've got to work with them if we are going to create an environment for human rights and democracy for the people of this hemisphere, and go to work on our single most important problem, and that is the avalanche of drugs that is poring into our country and virtually destroying those countries.",0,verita-composite-ours-train
But we certainly cannot have it in a presidential campaign.,0,verita-composite-ours-train
"And I believe that by eliminating ten million taxpayers in the last uh eight years, and by putting a heavier tax burden on those in the higher tax brackets, plus the other actions that've been taken uh - we can give taxpayers adequate tax relief.",1,verita-composite-ours-train
87 out of 100 will not get the retirement they think they're going to get.,1,verita-composite-ours-train
this is a book about people who dream big.,0,verita-composite-ours-test
I don't think I need any on-the-job training.,0,verita-composite-ours-train
This Administration and this country last year had the lowest rate of economic growth - which means jobs - of any major industrialized society in the world in 1959.,1,verita-composite-ours-train
"A woman came to me and she said, look, I can't afford insurance for myself or my son.",0,verita-composite-ours-train
HEROES Act would eliminate state requirements for voter IDs in US federal elections,1,verita-composite-ours-train
That's a very interesting and important question.,0,claimify
The Kerr bill provided assistance to all those who were not on Social Security.,1,verita-composite-ours-train
Mombasa is Kenya’s oldest town.,1,verita-composite-ours-train
"On the other hand, two years ago, I said that we've got a sub-prime lending crisis that has to be dealt with.",1,verita-composite-ours-test
A lot of them are mentally sick.,0,verita-composite-ours-test
You can also bring your own reusable bags when shopping for groceries or other items[^1^].,0,claimify
Journalist Arfa Khanum Sherwani tweet mentioning the Arabic name for the prophet Moses shows sympathy with the slain terrorist Hizbul commander Zakir Musa in Pakistan.,1,verita-composite-ours-train
"We're going to do it by taking full advantage of oil, coal, gas, nuclear and our renewables.",0,verita-composite-ours-train
What we have right now in Washington is a place that's gridlocked.,0,verita-composite-ours-train
Stepping back from the problem helps clear your head.,0,claimify
Here are some examples of promising technologies and how they differ from existing methods:,0,claimify
I've got the scars to prove it.,0,verita-composite-ours-train
These are just some examples of the many medical breakthroughs that have changed the world.,0,claimify
Boy Scouts of America are committed to act against racial injustice.,1,verita-composite-ours-test
"Johnny wraps his nihilism in a chip-on-shoulder brand of intellectualism: he sees himself as on a higher plane than other people for not understanding that ‘God just put us here for his own entertainment’, but he keeps putting himself in their path, verbally poking them until they react.",1,checkthat-2025-task1-test
"And the fact is, it's gotten pretty tough.",0,verita-composite-ours-train
"- L'Oréal: The beauty giant has been recognized as one of the world's most gender-balanced companies, with women representing 54% of its workforce, 49% of its executive committee, and 33% of its board of directors.",1,claimify
"This is a serious issue, and I think we ought to understand completely if we disagree, and if so, where.",0,verita-composite-ours-train
"This can be done by contacting policymakers, signing petitions, joining campaigns, and voting for environmental leaders.",0,claimify
These are some of the ways you can mitigate the negative impact of tourism on fragile ecosystems and local communities while still enjoying your travel experience.,0,claimify
"And, as a matter of fact, we haven't avoided arms control talks with the Soviet Union.",1,verita-composite-ours-train
"When I ran for president, I said we'd cut the deficit in half in four years; we cut it by 60 percent.",1,verita-composite-ours-train
"- Reducing costs and improving performance of floating solar systems, especially in terms of durability, reliability, and maintenance[^2^].",0,claimify
"And for those of you in other plans, maybe the KTRS plan, teachers, that after a strong year in the markets last year, people are appropriately feeling good and happy that we're more funded than we were and yet we're still only 56% funded. What does that mean?",1,verita-composite-ours-test
"Samajwadi Party leader Azam Khan had said he  (water burial)would take jalsamadhi if he was not invited for the Bhumi Pujan of the Ram Temple in Ayodhya on August 5, 2020.",1,verita-composite-ours-train
You're for school uniforms and curfews and you're opposed to truancy.,0,verita-composite-ours-test
"Every President until this one has been able to do it, and this nation -- or the world is more dangerous as a result.",0,verita-composite-ours-test
"The development of waste-to-energy technologies has been influenced by various factors, such as environmental regulations, energy prices, waste management policies, and public acceptance.",1,claimify
"In Nigeria … in terms of revenue share, 20% goes to the local government.",1,verita-composite-ours-train
You've got one more energy -- you've got one more question.,0,verita-composite-ours-train
"Each city has its own challenges and opportunities, but also can learn from the experiences and best practices of others.",0,claimify
"However, the signal has not been verified or repeated by other telescopes, and it could still be explained by human interference or other phenomena[^2^].",1,claimify
America is Grace Hopper and Katherine Johnson and Sally Ride.,1,verita-composite-ours-train
Sixty percent of the dry weight is fat[^2^].,1,claimify
Antioxidants can help protect your cells from damage caused by free radicals.,1,claimify
"And it is a fact that through most of these last twenty-five years the Republican leadership has opposed federal aid for education, medical care for the aged, development of the Tennessee Valley, development of our natural resources.",1,verita-composite-ours-train
"This means that if you could travel at the speed of light or near a very massive object, you could travel into the future[^2^] [^5^].",1,claimify
Some of the ways to improve public health literacy and promote health education are:,0,claimify
Medicaid's in one agency; Medicare is in a different one.,0,verita-composite-ours-test
The only hope left now for transparency is if the police decide to reopen their investigation.,1,checkthat-2025-task1-test
"Historically, the manure, or litter, from our feathered friends has been used to fertilize the hundreds of thousands of acres of cropland on the Delmarva Peninsula.",1,verita-composite-ours-test
"Now, again, if I get up there, if you send me, we're going to have some blunt talks about this, and we're really going to get down in the trenches and say, is this one you want to talk about or fix, because talk won't do it, folks.",0,verita-composite-ours-train
"If you want to learn more about any of these methods or how businesses have implemented them, please let me know.😊",0,claimify
"100% of the proceeds are going to go to scholarships, just as they have, to ensuring that young people have educational opportunities.",1,verita-composite-ours-train
"President Donald Trump said, “Nobody knew there’d be a pandemic or an epidemic of this proportion.” at a White House briefing on March 19 2020",1,verita-composite-ours-train
"In more recent centuries, cryptography advanced significantly with the invention of mechanical and electromechanical devices that could encrypt and decrypt faster and more complexly than humans.",1,claimify
"- Personality and beliefs: Déjà vu may be more frequent in people who have open-minded personalities, who are interested in new experiences, and who believe in paranormal phenomena.",1,claimify
"I think my dad would be pretty proud of me, because I think we've come a long long way and I think, you know three months ago, I remember some of the great publications in this country had written me off.",0,verita-composite-ours-test
"As Governor, I cannot and I will not let that happen!",0,verita-composite-ours-train
"Not to the schools but to -- you know, 46% of the teachers in Chicago, public school teachers, send their kids to private school.",1,verita-composite-ours-train
Under Donald Trump presidency there will always be protection for patients with pre-existing conditions.,1,verita-composite-ours-train
"Instead of hiring legions of IRS auditors, that money should go to hiring more border-patrol agents.",1,checkthat-2025-task1-dev
Heathrow’s previous plans were priced at about £14bn when an estimate was produced in 2014.,0,checkthat-2025-task1-test
You went out and tried to cut $20 billion out of Medicare.,1,verita-composite-ours-train
It's a tool that law enforcement now uses to be able to talk between each other.,0,verita-composite-ours-train
"Mr. Ford has - has advocated since he's been in office over $5 billion in reductions for corporations, special interest groups, and the very, very wealthy who derive their income - not from labor - but from investments.",1,verita-composite-ours-train
"- **Collaborating with innovators** that can provide bio-based materials at scale and at competitive prices, while ensuring quality and safety standards.",0,claimify
"The first relay involved more than **3,000 runners** who carried the flame from Olympia to Berlin via Athens, Sofia, Belgrade, Budapest, Vienna and Prague[^1^] [^3^] [^5^].",1,claimify
"The tea ceremony evolved into an elaborate ritual that involved specific places, procedures, and equipment for drinking tea.",1,claimify
"So you say, ""Was it worth it?""",0,verita-composite-ours-test
"Social distancing, to prevent the spread of coronavirus was not practiced at the funeral of civil rights icon, John Lewis.",1,verita-composite-ours-train
"Hun lakhon lek is not only a form of entertainment, but also a way of preserving and promoting Thai identity and culture in the modern world[^5^].",1,claimify
"Cognitive self-care can help you sharpen your mind, expand your knowledge, and reduce boredom.",1,claimify
"And I've been supporting those and I know how to fix this economy, and eliminate our dependence on foreign oil, and stop sending $700 billion a year overseas.",1,verita-composite-ours-train
"However, it is not a perfect solution and it has some trade-offs and challenges.",0,claimify
Those who've come here illegally take their place.,0,verita-composite-ours-test
"Try to meditate every day, even if it's just for a few minutes.",0,claimify
It’s an impressive feat.,1,checkthat-2025-task1-dev
"I hope some day it will rise; but I don't think it will rise if we continue the same policies toward Cuba that we did in recent years, and in fact towards all of Latin America - when we've almost ignored the needs of Latin America; we've beamed not a single Voice of America program in Spanish to all of Latin America in the last eight years, except for the three months of the Hungarian uh - revolution.",1,verita-composite-ours-test
It is estimated that the extensive damage to the country will cost at least $10 billion.,0,checkthat-2025-task1-dev
"Mr. Harriman talked to the leaders in Yugoslavia, and I think it's accurate to say that there is no uh - prospect in their opinion, of the Soviet Union invading uh - Yugoslavia should uh - Mr. Tito pass away.",0,verita-composite-ours-test
"It also influenced the evolution and migration of humans and other animals, as well as their culture and technology.",0,claimify
"You're familiar, I'm sure, with the recognition given in the Air Force to uh - General James, and there was just uh - approved a three-star admiral, the first in the history of the United States Navy, so uh - we are giving full recognition to individuals of quality in the Ford administration in positions of great responsibility.",1,verita-composite-ours-train
"Crack down on China, if and when they cheat.",0,verita-composite-ours-train
It permits us to make sure that the projects which are invested in are going to produce greater wealth.,0,verita-composite-ours-train
"The NZ Green Party should have delivered 16,000 KiwiBuild houses by now (10/08/2020). They’ve only managed just around 400. And so to promise 5,000 extra houses a year is nothing more than just wishful thinking and is destined to go the same way as KiwiBuild.",1,verita-composite-ours-train
"General Shinsheki, the Army chief of staff, said you're going to need several hundred thousand troops.",1,verita-composite-ours-train
"The question is values; the question is strength, the question is your willingness to provide the kind of leadership that must be provided.",0,verita-composite-ours-train
"Now, what he doesn't tell you is that he intends to, for the first time in history, tax health benefits.",1,verita-composite-ours-train
I would just like to s- add this one point.,0,verita-composite-ours-test
"That is to say, we have not consciously intended it.",0,checkthat-2025-task1-train
"I know exactly what we need to do in Iraq, and my position has been consistent: Saddam Hussein is a threat.",0,verita-composite-ours-train
"Democrats recited the US Pledge of Allegiance tonight and took out ""under God"".",1,verita-composite-ours-train
"And number three, we need to be a force for freedom and democracy and we need to use our unique position to support freedom, whether it's in Haiti or in China or in any other place, wherever the seeds of freedom are sprouting.",0,verita-composite-ours-train
"I think if you're going to have tax relief, everybody ought to get it.",0,verita-composite-ours-train
Making sure that CEOs are not enriching themselves through this process.,0,verita-composite-ours-train
"Molecular evidence for evolution includes the genetic code, which is the same for all living organisms, and DNA comparisons, which can show how closely related species are based on their genetic similarity.",1,claimify
"He founded authored, the job training partnership act.",1,verita-composite-ours-train
"I ask you to give me the opportunity to lead this great nation, so that we can be stronger here at home, respected again in the world, and have responsible leadership that we deserve.",0,verita-composite-ours-train
Ronald Reagan was the last president...,0,verita-composite-ours-train
"They could also disrupt existing jobs and businesses in fields such as healthcare, insurance, travel, and logistics[^4^].",0,claimify
"Democrats are pushing for an implanted microchip in humans, and everyone to be vaccinated.",1,verita-composite-ours-train
These are just some of the many possible ways that cities can reduce traffic congestion and promote sustainable and efficient transportation systems.,0,claimify
"Less than a hundred people have been working throughout the entire federal government on this subject, and I believe it's been reflected in our success and failures at Geneva.",1,verita-composite-ours-train
Origami is the art of folding paper to create various shapes and forms.,1,claimify
But very specifically the key thing is to turn the government back to the people and take it away from the special interests and have people go to Washington to serve.,0,verita-composite-ours-train
Let me tell you this straight from the shoulder.,0,verita-composite-ours-train
And she speaks English a lot better than I do.,0,verita-composite-ours-train
"That is one of the roles of government, and we are going to invest in our law enforcement officers in 2018.",1,verita-composite-ours-train
"US chain migration allows a bad person to come into the US, and bring 22 or 23 or 35 of his family members because he has his mother, his grandmother, sister, cousin, uncle.",1,verita-composite-ours-train
And we almost had it done.,0,verita-composite-ours-train
"These make-work, temporary jobs - dead end as they are - are not the kind of jobs that we want for our people.",0,verita-composite-ours-train
"And so, those are four ways to help control the costs in health care.",0,verita-composite-ours-train
"This dangerous policy comes cheap for both cohorts, since the impact of millions of illegal aliens will not be felt by the cognitive and economic elites who promote unfettered immigration.",1,checkthat-2025-task1-dev
"However, there are also many challenges that need to be overcome to make this technology viable on a large scale.",0,claimify
"However, none of these findings have proven the existence of extraterrestrial life beyond any doubt.",0,claimify
"The American dream is a real thing. It truly is. I've lived it. I've experienced it. So, too, have many of you.",0,verita-composite-ours-train
"Obama tweeted on Al Baghdad ""he was a great man, an innocent man and my friend"".",1,verita-composite-ours-train
"Arnis/Kali/Eskrima has evolved over time to become a revered aspect of Filipino culture and identity, as it embodies the values of courage, resilience, creativity and patriotism.",0,claimify
"Therefore, they need more research, innovation, investment and support from governments, businesses and consumers to reach their full potential.",0,claimify
Since 1973 the income of the bottom 90% of Americans didn't budge.,1,verita-composite-ours-train
"- The fifth generation of home consoles marked the transition to 3D graphics and CD-ROMs, as well as online gaming.",1,claimify
"There are also different methods for reducing or eliminating pain, depending on the type and severity of the pain, the patient's preferences, and the doctor's recommendations.",0,claimify
"And -- and what's at stake here is one of two things, either Candy -- this blows up the deficit because keep in mind, this is just to pay for the additional spending that he's talking about, $7 trillion - $8 trillion before we even get to the deficit we already have.",1,verita-composite-ours-train
"However, some general factors that have been found to influence language learning outcomes are[^2^]:",0,claimify
Organic farming also avoids synthetic fertilizers and pesticides that can contribute to greenhouse gas emissions and soil degradation[^1^].,1,claimify
So I will tell you this.,0,verita-composite-ours-test
- **Crop rotation**: This is the practice of growing different crops on the same piece of land in a sequential manner.,1,claimify
I can't go into detail about them here.,0,verita-composite-ours-train
I know that some churches do.,0,verita-composite-ours-test
"US President Donald Trump
 tweeted in support of India, following the Indo-China clash at Galwan Valley.",1,verita-composite-ours-test
"In 2017, we recorded an inflow of foreign direct investment amounting to R17 billion",1,verita-composite-ours-train
"And so I do believe that we have to consider it as part of our interests, our national interests, in intervening where possible.",0,verita-composite-ours-train
"Stakeholder capitalism poisons democracy, argues Vivek Ramaswamy",0,checkthat-2025-task1-train
About half of Customs and Border Patrol agents were members of a secret Facebook group page that included offensive posts,1,verita-composite-ours-train
"We have thumbprint, fingerprint technology today.",0,verita-composite-ours-train
Fifty percent of small business income taxes are paid by small businesses.,1,verita-composite-ours-train
"NASCAR ELIMINATED PRE-RACE PRAYERS, MILITARY FLYOVERS AND NATIONAL ANTHEM PERFORMANCES",1,verita-composite-ours-test
Documents note that the Somali eatery claimed to be serving a comparable number of meals to “the entire St. Paul public school district.”,0,checkthat-2025-task1-train
"- Sharing stories of personal or professional experiences with mental health issues by senior leaders or role models, which can inspire others to seek help or speak up[^2^].",0,claimify
And they were graphically demonstrated again today.,0,verita-composite-ours-train
I know because we did it there.,0,verita-composite-ours-test
"While salvos are fired at the Scottish Government too, there is nothing in this book that would be out of place in Holyrood Magazine, the in-house journal of the Scottish political establishment, which has featured the author on its front cover.",1,checkthat-2025-task1-dev
"And whether this House and Senate, in the next session is Democratic or Republican, if the country will have voted for the candidate for the presidency and for the proposals that he has made, I believe that you will find that the president, if it were a Republican, as it would be in my case, would be able to get his program through that Congress.",0,verita-composite-ours-test
We've protected an open Internet and taken bold new steps to get more students and low-income Americans online.,1,verita-composite-ours-train
"He painted it in 1889, while he was staying at an asylum in Saint-Rémy-de-Provence, France, after suffering a mental breakdown[^1^].",1,claimify
"And then we had a recession and we got attacked, which cost us 1 million jobs.",1,verita-composite-ours-train
"TCM has a significant cultural significance in China and other parts of Asia, as it reflects the worldview and values of the people who practice it[^6^].",0,claimify
I think we can do a better job.,0,verita-composite-ours-train
"That is why Senator wh- President Eisenhower was also correct in his policy in the Formosa Straits, where he declined, and refused to follow the recommendations - recommendations which Senator Kennedy voted for in 1955; again made in 1959; again repeated in his debates that you have heard - recommendations with regard to - again - slicing off a piece of free territory, and abandoning it, if - in effect, to the Communists.",1,verita-composite-ours-test
There was no doubt in my mind that Saddam Hussein was hoping that the world would turn a blind eye.,0,verita-composite-ours-train
"Another breakthrough in AI is the use of AI for **vaccine development**, especially for covid-19.",1,claimify
Then I would really focus on let's get these things out.,0,verita-composite-ours-train
It has some very elderly leaders that will not be around too much longer.,0,verita-composite-ours-train
"Along with what he also wants to do in terms of eliminating the estate tax, along what he wants to do in terms of corporates, changes in the tax code, it costs about $5 trillion.",1,verita-composite-ours-train
No tax on your savings.,0,verita-composite-ours-train
"All I want to do, if you've already got health care, is lower your costs.",0,verita-composite-ours-train
"And a lot of you I think are worried about your jobs, your pensions, your retirement accounts, your ability to send your child or your grandchild to college.",0,verita-composite-ours-train
"Well, there are various elements of defense.",0,verita-composite-ours-train
Nobody did any of this with evil intent.,0,verita-composite-ours-test
Beto O'Rourke said that he does not want to repeal Section 1325.,1,verita-composite-ours-train
"- Raising governance issues about the regulation and oversight of this technology, such as the need for international moratoriums, public dialogue, and broad societal consensus .",1,claimify
Getting us to a balanced budget.,0,verita-composite-ours-train
"And if not, I'll get rid of it.",0,verita-composite-ours-train
Why not try to help them with my small business program to build some incentives into the system?,0,verita-composite-ours-train
Nuclear fusion is different from existing methods of reducing carbon emissions because it could potentially provide a limitless source of clean energy that does not depend on weather or geography.,1,claimify
Democratic Michigan governor Gretchen Whitmer is the niece of billionaire investor George Soros.,1,verita-composite-ours-train
"A police officer’s starting salary was £24,000 in 2010 and £23,000 in 2018.",1,verita-composite-ours-train
“We regard this as the tyranny of an extreme minority that’s trying to impose its own values in contradiction to the collective moral values of society.”,0,checkthat-2025-task1-train
Donald Trump fired the Pandemic Response Team.,1,verita-composite-ours-train
"This is the way the framers of the Constitution intended our government to be, a government that comes from the people.",0,verita-composite-ours-train
I don't think he should say that our prestige is at an all-time low.,0,verita-composite-ours-test
Wells** suggested in **The Time Machine (1895)** that the process might be done mechanically[^2^].,1,claimify
"Uhuru Kenyatta's administration has built 1,000 kilometres of tarmacked roads, in Kenya, every year.",1,verita-composite-ours-test
"You can support them by donating money, volunteering time or skills, joining their campaigns or advocating for their causes[^2^].",0,claimify
"The latest polls suggest support for Lula is actually increasing among Catholic voters, rising from 52% to 53% this week according to the pollster Ipec.",0,checkthat-2025-task1-dev
The German press launched a massive campaign to discredit Russian and Russian language media.,1,verita-composite-ours-train
"But the jobs we'll create, the money we'll save, the planet we'll preserve—that is the kind of future our kids and our grandkids deserve. And it's within our grasp.",0,verita-composite-ours-train
"There are many archaeological discoveries that have shed light on different aspects of ancient civilizations, such as their culture, religion, art, technology, trade, and politics.",0,claimify
"Uh - I might make a correction uh - of what uh - Governor Carter said, uh speaking of uh - uh - gun control, uh - yes, it is true, I believe that the sale of uh - Saturday Night S- Specials should be cut out, but he wants the registration of handguns.",1,verita-composite-ours-test
Encourage them to prioritize their spending and saving based on their needs and wants.,0,claimify
She is widely regarded as one of the most influential figures in history.,0,claimify
"There is no one-size-fits-all answer to how to achieve this goal, but some general steps and strategies that may help are:",0,claimify
And I think in the final analysis it depends upon what we do here.,0,verita-composite-ours-train
"The Roundtable first focused on essentials for higher student achievement: high standards, assessment and accountability.",1,verita-composite-ours-train
"Each method has its own strengths and limitations, and may work better for some learners than others.",0,claimify
"Our Government has, in the last year or so, taken out of multiple use millions of acres of public lands that once were - well, they were public lands subject to multiple use - exploration for minerals and so forth.",1,verita-composite-ours-train
Over the past five years the South African government has invested in electrifying more than a million homes.,1,verita-composite-ours-train
I got a- a complete report back from those countries from these two distinguished - uh - gentlemen.,1,verita-composite-ours-train
It marked the transition from the era of ancient life to the era of modern life.,0,claimify
"It's not my term, it's the president's own Secretary of Defense, called them devastating.",1,verita-composite-ours-train
British author David Icke claimed global pandemics always follow the introduction of new technologies,1,verita-composite-ours-train
It set us back in Latin America.,0,verita-composite-ours-train
"The majority of the coverage was restrained, factual and even positive.",0,checkthat-2025-task1-train
- Identifying the role of procrastination in your life and how it affects your goals and well-being,1,claimify
The fact that you have an agreement is one thing.,0,verita-composite-ours-train
"I've had the best healthcare from government hospitals, Army hospitals and I know its importance, but we've got to fix it.",0,verita-composite-ours-train
They could also improve accessibility and convenience for travelers by providing door-to-door service and reducing parking hassles[^4^].,0,claimify
"But I will tell you what isn't fictionalized are her e-mails, where she destroyed 33,000 e-mails criminally, criminally, after getting a subpoena from the United States Congress.",1,verita-composite-ours-train
"And Senator Obama, by saying that he would attack Pakistan, look at the context of his words.",0,verita-composite-ours-train
"In Japan, calligraphy was introduced from China along with Buddhism in the sixth century C.E.",1,claimify
All the people who may still be watching or viewing.,0,verita-composite-ours-test
"For example, we uh - proposed about $12 million to add between four and five hundred more employees for the National Park Service.",1,verita-composite-ours-train
"But I can promise that a little over a year from now, when I no longer hold this office, I will be right there with you as a citizen, inspired by those voices of fairness and vision, of grit and good humor and kindness, that have helped America travel so far.",1,verita-composite-ours-test
"Now, Senator McCain, the centerpiece of his economic proposal is to provide $200 billion in additional tax breaks to some of the wealthiest corporations in America.",1,verita-composite-ours-test
"They're tough negotiators, but all previous Presidents have made progress.",0,verita-composite-ours-train
Democrats are draining Americans’ health care to finance open borders.,1,verita-composite-ours-train
"The federal government has cut Medicare and Medicaid in the last few years, states have cut Medicaid -- we've done it in Arkansas under budget pressures.",1,verita-composite-ours-test
"Sure, I can explain the psychological phenomenon of ""flow"" and how it can be achieved in various activities.",0,claimify
"Absent any real capacity for public planning, economic as well as spatial, Labours so-called industrial strategy is led by grasping whatever shiny new project is presented to them.",1,checkthat-2025-task1-test
